Bill No,Transaction Date,Menu Item,Item Category,Guest ID,Bill Amount,Qty,Outlet
B00327,2024-05-22 15:00:00,Tea,Beverage,G0125,517.74,1,MG Road
B00328,2024-06-22 03:00:00,Muffin,Food,G0138,438.28,2,Indiranagar
B00329,2024-06-20 10:00:00,Cold Brew,Food,G0339,440.96,3,MG Road
B00330,2023-03-10 16:00:00,Tea,Food,G0025,336.66,1,MG Road
B00331,2023-08-19 19:00:00,Cappuccino,Food,G0068,382.73,3,Indiranagar
B00332,2024-02-06 13:00:00,Croissant,Food,G0061,505.06,1,Indiranagar
B00333,2023-06-24 23:00:00,Latte,Food,G0029,550.79,3,MG Road
B00334,2024-05-19 19:00:00,Tea,Food,G0383,477.04,1,MG Road
B00335,2023-12-18 21:00:00,Muffin,Beverage,G0019,606.72,2,Indiranagar
B00336,2024-04-18 23:00:00,Cappuccino,Beverage,G0171,547.58,1,Koramangala
B00337,2023-04-17 13:00:00,Espresso,Food,G0074,400.26,2,MG Road
B00338,2023-08-22 00:00:00,Cappuccino,Food,G0061,462.7,1,MG Road
B00339,2023-01-05 02:00:00,Cappuccino,Beverage,G0153,608.0,1,Koramangala
B00340,2023-04-02 16:00:00,Croissant,Beverage,G0276,432.93,3,Indiranagar
B00341,2023-05-04 09:00:00,Latte,Beverage,G0048,550.14,3,Indiranagar
B00342,2023-07-27 05:00:00,Espresso,Beverage,G0211,472.62,3,Koramangala
B00343,2023-07-04 17:00:00,Sandwich,Food,G0343,394.6,1,Indiranagar
B00344,2024-05-13 17:00:00,Sandwich,Beverage,G0139,217.85,1,Indiranagar
B00345,2023-04-30 13:00:00,Tea,Food,G0110,322.82,1,MG Road
B00346,2024-04-21 02:00:00,Cappuccino,Food,G0183,631.61,2,MG Road
B00347,2024-05-14 07:00:00,Cold Brew,Food,G0028,454.93,2,MG Road
B00348,2023-02-09 20:00:00,Croissant,Beverage,G0197,401.71,1,Koramangala
B00349,2024-05-25 19:00:00,Cold Brew,Beverage,G0191,611.79,3,Indiranagar
B00350,2023-12-15 00:00:00,Croissant,Food,G0315,414.31,3,Indiranagar
B00351,2023-08-26 11:00:00,Sandwich,Food,G0389,379.87,3,MG Road
B00352,2023-10-17 08:00:00,Tea,Food,G0051,512.81,1,MG Road
B00353,2023-07-07 05:00:00,Tea,Beverage,G0149,486.22,3,Koramangala
B00354,2024-01-31 12:00:00,Tea,Food,G0268,190.1,1,Indiranagar
B00355,2023-07-24 15:00:00,Espresso,Beverage,G0050,348.65,2,Koramangala
B00356,2023-06-16 03:00:00,Latte,Food,G0388,349.33,3,Indiranagar
B00357,2024-02-09 23:00:00,Espresso,Food,G0246,295.59,2,Koramangala
B00358,2023-09-08 15:00:00,Muffin,Food,G0113,374.86,3,MG Road
B00359,2023-02-20 18:00:00,Muffin,Beverage,G0170,315.47,1,Koramangala
B00360,2023-07-07 08:00:00,Cold Brew,Beverage,G0166,193.63,1,Koramangala
B00361,2023-07-17 07:00:00,Latte,Food,G0014,315.05,1,MG Road
B00362,2024-04-15 16:00:00,Sandwich,Beverage,G0203,121.2,1,Indiranagar
B00363,2024-03-31 07:00:00,Latte,Food,G0288,408.2,3,Indiranagar
B00364,2023-07-09 19:00:00,Croissant,Beverage,G0395,566.58,2,MG Road
B00365,2024-01-17 02:00:00,Muffin,Beverage,G0189,493.41,1,Koramangala
B00366,2023-12-02 10:00:00,Cappuccino,Beverage,G0155,285.42,3,Koramangala
B00367,2024-06-15 13:00:00,Cappuccino,Food,G0055,129.63,2,Koramangala
B00368,2023-05-24 14:00:00,Sandwich,Beverage,G0182,195.23,1,Indiranagar
B00369,2023-02-13 13:00:00,Croissant,Beverage,G0210,390.93,2,Koramangala
B00370,2023-10-15 05:00:00,Cold Brew,Food,G0376,198.02,1,Indiranagar
B00371,2023-03-12 13:00:00,Espresso,Food,G0075,390.06,2,Koramangala
B00372,2023-05-24 04:00:00,Croissant,Food,G0277,212.01,2,MG Road
B00373,2023-12-31 18:00:00,Cappuccino,Food,G0133,563.89,1,MG Road
B00374,2024-03-20 21:00:00,Cappuccino,Beverage,G0343,306.44,3,Indiranagar
B00375,2023-09-03 15:00:00,Cold Brew,Beverage,G0059,219.96,2,Indiranagar
B00376,2023-05-20 18:00:00,Muffin,Beverage,G0345,543.03,1,MG Road
B00377,2023-01-10 09:00:00,Croissant,Beverage,G0182,275.42,2,MG Road
B00378,2023-07-23 21:00:00,Croissant,Beverage,G0339,143.55,2,Koramangala
B00379,2023-10-20 14:00:00,Cappuccino,Food,G0321,405.13,3,MG Road
B00380,2024-01-17 07:00:00,Espresso,Beverage,G0064,411.49,2,Indiranagar
B00381,2023-08-22 08:00:00,Sandwich,Beverage,G0327,487.38,2,MG Road
B00382,2024-06-14 20:00:00,Tea,Beverage,G0260,216.93,1,Indiranagar
B00383,2024-04-14 03:00:00,Sandwich,Food,G0193,332.95,1,Indiranagar
B00384,2023-11-30 04:00:00,Croissant,Food,G0143,240.95,3,Koramangala
B00385,2024-01-11 07:00:00,Sandwich,Beverage,G0104,126.14,2,Koramangala
B00386,2024-06-23 10:00:00,Cappuccino,Food,G0214,579.67,2,Koramangala
B00387,2023-11-17 03:00:00,Cappuccino,Food,G0242,495.46,2,Koramangala
B00388,2023-07-13 10:00:00,Cold Brew,Food,G0209,251.83,3,MG Road
B00389,2024-04-16 08:00:00,Croissant,Food,G0093,421.64,2,Koramangala
B00390,2023-11-16 23:00:00,Cold Brew,Food,G0142,194.72,1,MG Road
B00391,2023-12-09 00:00:00,Croissant,Food,G0112,587.43,3,Koramangala
B00392,2023-11-02 19:00:00,Tea,Food,G0375,145.5,1,Koramangala
B00393,2024-01-29 03:00:00,Tea,Beverage,G0059,82.19,1,Indiranagar
B00394,2023-04-02 21:00:00,Muffin,Beverage,G0043,366.14,3,MG Road
B00395,2024-03-22 12:00:00,Croissant,Food,G0207,412.38,1,Indiranagar
B00396,2023-02-14 13:00:00,Espresso,Beverage,G0268,410.01,2,Koramangala
B00397,2023-05-24 12:00:00,Sandwich,Beverage,G0296,111.07,3,MG Road
B00398,2024-03-24 05:00:00,Croissant,Food,G0118,259.0,1,Koramangala
B00399,2023-02-14 04:00:00,Latte,Beverage,G0020,364.54,2,Indiranagar
B00400,2023-04-07 23:00:00,Muffin,Food,G0222,203.45,2,MG Road
B00401,2023-05-23 12:00:00,Latte,Food,G0166,577.4,1,Indiranagar
B00402,2023-01-13 13:00:00,Cappuccino,Food,G0131,129.65,2,Koramangala
B00403,2024-06-03 12:00:00,Tea,Beverage,G0156,357.81,3,Koramangala
B00404,2023-01-26 06:00:00,Sandwich,Beverage,G0184,474.11,1,Koramangala
B00405,2023-05-13 02:00:00,Croissant,Beverage,G0090,229.2,2,MG Road
B00406,2023-01-30 03:00:00,Latte,Beverage,G0094,435.82,2,Indiranagar
B00407,2023-08-01 00:00:00,Sandwich,Food,G0013,552.75,1,Indiranagar
B00408,2024-01-24 19:00:00,Cappuccino,Food,G0322,188.49,1,Koramangala
B00409,2023-01-08 22:00:00,Tea,Beverage,G0293,602.82,1,Indiranagar
B00410,2024-03-13 04:00:00,Espresso,Food,G0230,395.53,1,MG Road
B00411,2023-02-10 20:00:00,Muffin,Food,G0322,250.56,3,Koramangala
B00412,2023-05-04 23:00:00,Sandwich,Beverage,G0292,325.59,1,Koramangala
B00413,2023-09-12 06:00:00,Sandwich,Food,G0026,257.95,3,Koramangala
B00414,2023-02-19 08:00:00,Espresso,Beverage,G0075,493.31,3,MG Road
B00415,2023-05-19 15:00:00,Sandwich,Food,G0364,533.89,1,Koramangala
B00416,2023-05-22 10:00:00,Cappuccino,Beverage,G0299,554.77,3,Koramangala
B00417,2023-12-13 15:00:00,Cappuccino,Food,G0150,641.89,1,Koramangala
B00418,2024-03-03 09:00:00,Espresso,Food,G0148,531.03,1,Koramangala
B00419,2023-03-17 16:00:00,Muffin,Beverage,G0008,422.79,2,Indiranagar
B00420,2023-09-01 22:00:00,Croissant,Beverage,G0029,273.36,1,Koramangala
B00421,2023-10-07 13:00:00,Latte,Beverage,G0296,390.42,2,MG Road
B00422,2023-01-24 17:00:00,Croissant,Beverage,G0209,103.41,3,Koramangala
B00423,2023-08-15 18:00:00,Sandwich,Food,G0128,504.55,2,Koramangala
B00424,2023-03-20 23:00:00,Latte,Food,G0340,334.19,3,Indiranagar
B00425,2023-04-24 21:00:00,Cold Brew,Beverage,G0116,91.41,1,Koramangala
B00426,2023-06-10 23:00:00,Espresso,Food,G0144,115.63,3,Indiranagar
B00427,2024-06-22 01:00:00,Espresso,Beverage,G0318,300.86,3,MG Road
B00428,2023-11-07 15:00:00,Muffin,Beverage,G0235,412.55,1,Indiranagar
B00429,2023-06-17 06:00:00,Latte,Food,G0007,344.6,3,Koramangala
B00430,2024-04-07 05:00:00,Cappuccino,Food,G0045,432.95,1,MG Road
B00431,2023-03-12 06:00:00,Latte,Beverage,G0239,353.77,2,Koramangala
B00432,2023-05-06 09:00:00,Sandwich,Beverage,G0155,457.17,1,Indiranagar
B00433,2023-11-22 06:00:00,Cappuccino,Beverage,G0181,204.9,1,MG Road
B00434,2023-01-07 10:00:00,Tea,Food,G0215,144.32,3,MG Road
B00435,2024-03-23 01:00:00,Tea,Food,G0088,419.97,2,Indiranagar
B00436,2023-02-28 17:00:00,Cold Brew,Food,G0256,356.27,1,Indiranagar
B00437,2024-05-25 09:00:00,Tea,Food,G0073,95.31,2,MG Road
B00438,2023-02-02 16:00:00,Espresso,Beverage,G0179,296.87,2,MG Road
B00439,2024-04-18 15:00:00,Latte,Beverage,G0212,140.49,3,Indiranagar
B00440,2023-12-04 08:00:00,Tea,Beverage,G0293,382.87,1,Koramangala
B00441,2023-11-12 00:00:00,Croissant,Beverage,G0234,305.59,3,MG Road
B00442,2024-06-06 05:00:00,Muffin,Beverage,G0239,429.5,1,Indiranagar
B00443,2023-11-02 23:00:00,Croissant,Beverage,G0223,539.19,2,Koramangala
B00444,2023-10-28 06:00:00,Tea,Food,G0119,250.81,1,MG Road
B00445,2023-08-22 04:00:00,Cold Brew,Food,G0313,628.4,1,MG Road
B00446,2023-08-30 17:00:00,Muffin,Beverage,G0264,385.31,2,Indiranagar
B00447,2023-04-27 22:00:00,Sandwich,Beverage,G0207,432.43,2,Koramangala
B00448,2023-01-23 09:00:00,Croissant,Food,G0095,467.98,1,MG Road
B00449,2023-09-07 10:00:00,Cold Brew,Food,G0373,460.04,3,Koramangala
B00450,2023-03-18 17:00:00,Latte,Food,G0222,371.25,1,Koramangala
B00451,2024-03-19 15:00:00,Latte,Food,G0366,324.4,2,MG Road
B00452,2023-12-30 04:00:00,Croissant,Beverage,G0276,110.66,3,Koramangala
B00453,2023-10-18 11:00:00,Tea,Beverage,G0380,92.59,2,MG Road
B00454,2023-08-23 09:00:00,Cold Brew,Beverage,G0231,284.04,2,Koramangala
B00455,2023-05-03 22:00:00,Latte,Beverage,G0309,270.19,3,MG Road
B00456,2023-11-30 00:00:00,Sandwich,Beverage,G0119,300.99,2,Indiranagar
B00457,2024-05-28 11:00:00,Cappuccino,Food,G0268,158.87,2,MG Road
B00458,2023-07-19 04:00:00,Tea,Beverage,G0273,500.76,2,MG Road
B00459,2024-05-27 19:00:00,Cold Brew,Food,G0064,568.47,2,MG Road
B00460,2023-04-09 16:00:00,Sandwich,Beverage,G0298,615.07,2,Koramangala
B00461,2024-05-16 15:00:00,Cold Brew,Beverage,G0350,360.65,2,Indiranagar
B00462,2023-10-05 07:00:00,Muffin,Beverage,G0011,479.49,2,Koramangala
B00463,2023-12-07 13:00:00,Sandwich,Beverage,G0098,567.66,2,Koramangala
B00464,2023-07-07 07:00:00,Tea,Beverage,G0071,318.43,2,MG Road
B00465,2024-03-29 21:00:00,Muffin,Food,G0364,256.37,1,Koramangala
B00466,2024-01-17 19:00:00,Tea,Food,G0058,613.93,1,MG Road
B00467,2023-09-08 02:00:00,Latte,Food,G0290,373.94,2,Indiranagar
B00468,2023-10-03 14:00:00,Cappuccino,Beverage,G0251,363.43,1,Koramangala
B00469,2024-01-25 22:00:00,Tea,Beverage,G0276,181.7,3,Koramangala
B00470,2023-09-04 15:00:00,Tea,Food,G0050,141.65,1,Koramangala
B00471,2024-04-01 22:00:00,Latte,Beverage,G0358,560.0,2,MG Road
B00472,2024-02-28 22:00:00,Espresso,Beverage,G0216,430.06,2,MG Road
B00473,2023-02-05 13:00:00,Latte,Food,G0394,265.72,1,Koramangala
B00474,2023-06-22 18:00:00,Muffin,Beverage,G0052,189.29,2,Koramangala
B00475,2024-05-12 00:00:00,Latte,Food,G0271,396.63,3,Indiranagar
B00476,2023-06-07 01:00:00,Latte,Beverage,G0084,412.83,3,Indiranagar
B00477,2023-01-24 22:00:00,Cappuccino,Food,G0387,197.99,2,Indiranagar
B00478,2024-04-22 05:00:00,Latte,Beverage,G0293,565.3,3,Indiranagar
B00479,2023-02-17 20:00:00,Cold Brew,Beverage,G0126,128.03,3,Indiranagar
B00480,2023-09-20 05:00:00,Tea,Food,G0296,282.97,1,MG Road
B00481,2023-09-27 01:00:00,Cold Brew,Beverage,G0072,467.82,3,Indiranagar
B00482,2023-11-09 21:00:00,Cappuccino,Beverage,G0296,236.25,1,Indiranagar
B00483,2024-02-17 19:00:00,Croissant,Food,G0236,551.77,2,Koramangala
B00484,2023-07-19 01:00:00,Espresso,Beverage,G0056,501.72,1,MG Road
B00485,2023-06-10 14:00:00,Cold Brew,Food,G0360,529.74,2,Indiranagar
B00486,2023-04-14 19:00:00,Cappuccino,Beverage,G0395,147.89,2,Indiranagar
B00487,2024-03-28 04:00:00,Muffin,Beverage,G0110,160.11,2,Indiranagar
B00488,2023-05-11 04:00:00,Croissant,Beverage,G0192,243.29,2,Koramangala
B00489,2023-08-26 03:00:00,Cappuccino,Beverage,G0392,375.3,2,Koramangala
B00490,2023-05-08 03:00:00,Cappuccino,Food,G0093,506.37,1,Koramangala
B00491,2023-01-01 04:00:00,Espresso,Beverage,G0350,556.82,2,Indiranagar
B00492,2023-08-06 14:00:00,Tea,Food,G0056,481.47,3,Koramangala
B00493,2023-08-10 11:00:00,Cold Brew,Beverage,G0060,609.3,3,Indiranagar
B00494,2023-07-22 21:00:00,Muffin,Beverage,G0138,501.08,2,MG Road
B00495,2023-02-06 12:00:00,Sandwich,Beverage,G0039,254.57,3,Indiranagar
B00496,2024-01-18 15:00:00,Cold Brew,Beverage,G0028,231.1,1,Koramangala
B00497,2023-10-20 19:00:00,Sandwich,Food,G0049,476.83,1,MG Road
B00498,2023-06-22 14:00:00,Cappuccino,Food,G0125,189.94,2,Indiranagar
B00499,2023-10-18 06:00:00,Latte,Food,G0013,132.85,2,MG Road
B00500,2023-10-22 23:00:00,Muffin,Food,G0036,383.37,2,MG Road
B00501,2023-11-29 19:00:00,Croissant,Beverage,G0101,548.34,3,MG Road
B00502,2023-10-11 07:00:00,Latte,Food,G0282,137.79,3,Indiranagar
B00503,2024-06-07 04:00:00,Latte,Food,G0086,531.38,1,Koramangala
B00504,2023-07-06 01:00:00,Cold Brew,Beverage,G0004,542.6,3,Indiranagar
B00505,2023-01-27 11:00:00,Muffin,Beverage,G0223,354.9,1,Koramangala
B00506,2023-03-12 13:00:00,Tea,Beverage,G0338,112.67,3,Indiranagar
B00507,2024-02-16 10:00:00,Cappuccino,Beverage,G0166,179.52,1,Indiranagar
B00508,2023-07-18 00:00:00,Cappuccino,Food,G0383,483.23,2,Indiranagar
B00509,2023-12-13 07:00:00,Cappuccino,Food,G0344,485.71,3,Koramangala
B00510,2023-02-04 14:00:00,Cappuccino,Beverage,G0383,592.06,1,Indiranagar
B00511,2024-05-09 11:00:00,Cold Brew,Beverage,G0376,412.13,3,MG Road
B00512,2023-08-04 17:00:00,Sandwich,Beverage,G0278,150.74,2,Indiranagar
B00513,2024-02-03 09:00:00,Cappuccino,Food,G0130,149.21,1,MG Road
B00514,2024-01-08 04:00:00,Sandwich,Food,G0031,491.05,3,Koramangala
B00515,2023-12-13 04:00:00,Sandwich,Beverage,G0375,184.76,3,Koramangala
B00516,2023-09-05 21:00:00,Tea,Beverage,G0011,267.18,2,Indiranagar
B00517,2023-04-29 06:00:00,Cappuccino,Food,G0302,357.71,2,Indiranagar
B00518,2023-02-17 22:00:00,Espresso,Beverage,G0096,94.12,1,Indiranagar
B00519,2023-11-12 00:00:00,Croissant,Beverage,G0190,221.83,3,MG Road
B00520,2023-03-22 11:00:00,Latte,Food,G0192,312.5,3,Koramangala
B00521,2024-01-19 12:00:00,Sandwich,Beverage,G0266,239.39,2,MG Road
B00522,2023-03-11 08:00:00,Muffin,Food,G0128,157.73,2,MG Road
B00523,2023-02-15 01:00:00,Muffin,Beverage,G0238,494.97,1,Indiranagar
B00524,2024-06-22 09:00:00,Croissant,Beverage,G0355,543.49,3,Indiranagar
B00525,2023-01-22 08:00:00,Muffin,Food,G0112,226.76,3,MG Road
B00526,2024-04-05 01:00:00,Espresso,Food,G0316,521.42,1,MG Road
B00527,2023-11-22 05:00:00,Muffin,Beverage,G0343,299.77,1,Indiranagar
B00528,2023-08-07 05:00:00,Latte,Food,G0145,368.81,2,Indiranagar
B00529,2023-01-24 07:00:00,Latte,Beverage,G0065,567.92,2,MG Road
B00530,2023-06-03 00:00:00,Sandwich,Beverage,G0247,507.47,1,Indiranagar
B00531,2024-06-16 07:00:00,Cappuccino,Food,G0223,538.92,1,Indiranagar
B00532,2023-11-05 12:00:00,Tea,Beverage,G0313,158.0,3,MG Road
B00533,2023-05-20 07:00:00,Espresso,Beverage,G0106,119.74,1,MG Road
B00534,2023-06-19 14:00:00,Sandwich,Food,G0181,589.24,1,Koramangala
B00535,2024-06-25 07:00:00,Espresso,Food,G0184,301.07,3,MG Road
B00536,2024-02-07 14:00:00,Cappuccino,Beverage,G0226,244.09,1,Indiranagar
B00537,2023-01-25 04:00:00,Cold Brew,Food,G0265,493.08,2,MG Road
B00538,2023-10-19 20:00:00,Muffin,Food,G0278,556.76,2,MG Road
B00539,2024-03-12 22:00:00,Muffin,Food,G0397,571.62,3,MG Road
B00540,2023-12-05 18:00:00,Tea,Food,G0089,260.12,1,Koramangala
B00541,2023-05-12 03:00:00,Cappuccino,Beverage,G0176,565.76,2,Koramangala
B00542,2023-06-27 01:00:00,Sandwich,Beverage,G0018,103.33,2,Indiranagar
B00543,2023-03-11 23:00:00,Tea,Beverage,G0371,108.31,2,Koramangala
B00544,2023-05-27 02:00:00,Cappuccino,Food,G0399,435.41,2,MG Road
B00545,2023-10-30 05:00:00,Croissant,Food,G0106,115.97,1,Koramangala
B00546,2023-04-25 08:00:00,Latte,Food,G0271,265.03,1,MG Road
B00547,2024-04-26 04:00:00,Tea,Food,G0319,463.47,1,Koramangala
B00548,2024-05-24 21:00:00,Tea,Food,G0167,272.24,1,Koramangala
B00549,2024-01-29 03:00:00,Sandwich,Food,G0013,182.37,2,Koramangala
B00550,2023-08-05 04:00:00,Espresso,Food,G0337,240.37,3,MG Road
B00551,2024-04-16 06:00:00,Croissant,Beverage,G0032,340.82,3,Koramangala
B00552,2023-03-31 05:00:00,Sandwich,Beverage,G0393,350.97,2,MG Road
B00553,2024-04-13 19:00:00,Cappuccino,Food,G0040,526.31,2,MG Road
B00554,2024-06-14 20:00:00,Cappuccino,Food,G0148,507.59,3,Indiranagar
B00555,2024-04-09 15:00:00,Cappuccino,Food,G0218,340.39,3,Koramangala
B00556,2024-03-11 17:00:00,Cold Brew,Beverage,G0219,562.03,2,Indiranagar
B00557,2023-10-03 17:00:00,Cappuccino,Beverage,G0082,145.12,2,Indiranagar
B00558,2023-04-14 07:00:00,Espresso,Food,G0333,225.55,1,MG Road
B00559,2023-09-28 04:00:00,Croissant,Food,G0208,551.95,1,Koramangala
B00560,2024-06-18 22:00:00,Muffin,Beverage,G0201,295.46,3,MG Road
B00561,2024-02-14 11:00:00,Latte,Beverage,G0332,639.27,2,MG Road
B00562,2023-11-06 05:00:00,Espresso,Beverage,G0038,345.76,3,Koramangala
B00563,2024-02-19 13:00:00,Espresso,Beverage,G0211,531.4,1,MG Road
B00564,2023-07-05 12:00:00,Cold Brew,Food,G0327,309.32,1,Koramangala
B00565,2024-03-03 14:00:00,Muffin,Beverage,G0249,322.22,3,Koramangala
B00566,2023-09-03 01:00:00,Muffin,Beverage,G0227,298.24,1,MG Road
B00567,2023-10-05 17:00:00,Latte,Food,G0048,489.87,2,MG Road
B00568,2023-04-29 17:00:00,Latte,Beverage,G0018,392.09,3,Indiranagar
B00569,2024-04-21 19:00:00,Muffin,Beverage,G0295,617.95,2,MG Road
B00570,2023-11-04 22:00:00,Cappuccino,Beverage,G0196,223.01,2,Koramangala
B00571,2023-10-15 17:00:00,Espresso,Food,G0187,137.32,1,Indiranagar
B00572,2024-05-11 18:00:00,Sandwich,Beverage,G0345,304.16,2,Koramangala
B00573,2023-04-14 17:00:00,Latte,Food,G0224,431.53,3,Indiranagar
B00574,2024-02-14 07:00:00,Cold Brew,Food,G0318,570.66,2,MG Road
B00575,2024-04-03 16:00:00,Cold Brew,Beverage,G0397,277.33,2,MG Road
B00576,2024-01-19 15:00:00,Latte,Beverage,G0365,452.66,2,MG Road
B00577,2024-02-02 12:00:00,Muffin,Beverage,G0337,279.61,2,Koramangala
B00578,2023-07-12 03:00:00,Croissant,Beverage,G0229,431.82,2,Indiranagar
B00579,2024-04-14 23:00:00,Sandwich,Food,G0390,584.34,1,Koramangala
B00580,2023-04-29 07:00:00,Sandwich,Beverage,G0077,211.87,3,Indiranagar
B00581,2023-12-22 07:00:00,Latte,Beverage,G0188,310.42,1,MG Road
B00582,2023-09-02 22:00:00,Cappuccino,Beverage,G0346,646.16,3,Koramangala
B00583,2024-06-16 16:00:00,Croissant,Food,G0270,575.08,3,MG Road
B00584,2024-01-14 15:00:00,Sandwich,Beverage,G0095,401.84,3,Koramangala
B00585,2023-09-20 15:00:00,Latte,Beverage,G0310,374.48,3,MG Road
B00586,2024-05-04 02:00:00,Cold Brew,Food,G0132,242.22,3,Koramangala
B00587,2023-02-05 11:00:00,Sandwich,Food,G0039,374.81,2,Koramangala
B00588,2023-03-12 07:00:00,Tea,Beverage,G0072,563.46,1,Indiranagar
B00589,2024-02-26 19:00:00,Croissant,Beverage,G0281,470.55,1,MG Road
B00590,2023-10-12 17:00:00,Croissant,Beverage,G0333,245.33,2,Indiranagar
B00591,2024-05-12 10:00:00,Tea,Beverage,G0160,194.83,3,Indiranagar
B00592,2023-04-12 03:00:00,Espresso,Beverage,G0187,231.17,1,MG Road
B00593,2024-02-11 16:00:00,Cold Brew,Food,G0191,176.76,2,Koramangala
B00594,2023-06-16 16:00:00,Tea,Food,G0120,134.52,2,Indiranagar
B00595,2023-07-30 12:00:00,Muffin,Beverage,G0220,318.91,1,MG Road
B00596,2023-04-25 02:00:00,Muffin,Beverage,G0053,144.58,1,Koramangala
B00597,2024-05-02 02:00:00,Latte,Food,G0222,177.99,3,Indiranagar
B00598,2023-08-27 20:00:00,Croissant,Beverage,G0131,391.98,3,Indiranagar
B00599,2023-08-13 11:00:00,Espresso,Beverage,G0237,173.82,1,Indiranagar
B00600,2023-11-30 10:00:00,Espresso,Beverage,G0246,116.41,3,Koramangala
B00601,2023-08-19 16:00:00,Sandwich,Beverage,G0226,260.91,2,Indiranagar
B00602,2023-06-13 01:00:00,Sandwich,Beverage,G0208,205.58,3,Koramangala
B00603,2023-02-14 10:00:00,Tea,Food,G0096,373.72,3,Indiranagar
B00604,2023-11-18 19:00:00,Espresso,Beverage,G0200,138.35,2,MG Road
B00605,2023-07-02 12:00:00,Tea,Beverage,G0247,508.51,3,Indiranagar
B00606,2024-03-19 04:00:00,Cold Brew,Beverage,G0072,596.55,2,MG Road
B00607,2023-06-21 03:00:00,Tea,Food,G0318,503.76,3,MG Road
B00608,2023-08-27 14:00:00,Sandwich,Food,G0185,383.71,1,MG Road
B00609,2023-05-21 13:00:00,Croissant,Food,G0006,570.58,3,Koramangala
B00610,2024-05-21 17:00:00,Tea,Food,G0206,476.1,1,MG Road
B00611,2024-03-23 10:00:00,Cappuccino,Beverage,G0032,86.01,1,Indiranagar
B00612,2024-01-08 17:00:00,Croissant,Food,G0099,304.63,1,Koramangala
B00613,2023-03-28 18:00:00,Espresso,Beverage,G0394,565.04,1,MG Road
B00614,2024-04-01 22:00:00,Espresso,Beverage,G0387,277.14,1,Koramangala
B00615,2024-04-07 00:00:00,Tea,Food,G0256,100.07,2,Koramangala
B00616,2024-05-30 17:00:00,Croissant,Food,G0187,505.32,2,Koramangala
B00617,2024-01-09 15:00:00,Sandwich,Food,G0076,537.16,2,Indiranagar
B00618,2023-10-09 04:00:00,Sandwich,Food,G0177,171.54,1,MG Road
B00619,2024-02-14 01:00:00,Muffin,Food,G0315,386.28,3,Koramangala
B00620,2024-04-14 05:00:00,Espresso,Beverage,G0287,189.41,2,Koramangala
B00621,2023-01-18 09:00:00,Latte,Food,G0349,489.96,3,Koramangala
B00622,2023-12-13 02:00:00,Muffin,Food,G0255,234.78,3,MG Road
B00623,2024-01-03 00:00:00,Sandwich,Food,G0325,260.24,1,Koramangala
B00624,2023-06-15 14:00:00,Croissant,Beverage,G0190,561.63,1,Koramangala
B00625,2023-05-17 03:00:00,Cold Brew,Food,G0308,351.5,1,Indiranagar
B00626,2023-02-04 09:00:00,Sandwich,Beverage,G0345,461.76,2,MG Road
B00627,2023-11-16 12:00:00,Croissant,Food,G0127,309.35,1,Indiranagar
B00628,2023-08-28 09:00:00,Muffin,Food,G0287,249.86,2,MG Road
B00629,2024-02-09 12:00:00,Espresso,Beverage,G0254,436.52,2,MG Road
B00630,2024-04-17 10:00:00,Sandwich,Food,G0213,168.27,2,MG Road
B00631,2023-01-18 04:00:00,Tea,Beverage,G0250,292.61,2,Indiranagar
B00632,2023-11-11 07:00:00,Croissant,Beverage,G0084,199.15,1,Indiranagar
B00633,2023-11-13 03:00:00,Espresso,Beverage,G0383,476.6,2,Indiranagar
B00634,2023-01-31 08:00:00,Cold Brew,Food,G0388,618.2,1,Indiranagar
B00635,2024-04-25 20:00:00,Cold Brew,Food,G0013,647.44,1,Koramangala
B00636,2023-10-26 12:00:00,Latte,Food,G0045,336.66,2,Koramangala
B00637,2024-04-03 08:00:00,Croissant,Beverage,G0127,223.94,1,Koramangala
B00638,2024-01-05 11:00:00,Muffin,Food,G0114,332.41,3,MG Road
B00639,2024-04-30 17:00:00,Latte,Beverage,G0276,562.94,1,Koramangala
B00640,2023-09-07 12:00:00,Latte,Food,G0205,197.42,1,MG Road
B00641,2023-04-15 08:00:00,Cappuccino,Beverage,G0337,622.69,2,Indiranagar
B00642,2023-05-04 15:00:00,Sandwich,Beverage,G0385,274.86,2,MG Road
B00643,2023-04-27 02:00:00,Croissant,Beverage,G0399,641.91,1,MG Road
B00644,2023-02-16 18:00:00,Latte,Food,G0273,558.01,2,Koramangala
B00645,2023-06-19 23:00:00,Cappuccino,Beverage,G0058,540.89,3,Indiranagar
B00646,2023-03-07 11:00:00,Muffin,Beverage,G0328,261.21,3,Indiranagar
B00647,2023-07-31 09:00:00,Espresso,Beverage,G0219,85.0,2,Koramangala
B00648,2023-08-01 16:00:00,Tea,Beverage,G0109,297.82,1,Indiranagar
B00649,2023-03-31 07:00:00,Tea,Beverage,G0279,252.03,3,Indiranagar
B00650,2024-02-16 15:00:00,Croissant,Beverage,G0174,101.32,3,Indiranagar
B00651,2023-10-11 14:00:00,Latte,Food,G0328,368.06,1,Koramangala
B00652,2023-11-03 13:00:00,Tea,Food,G0264,309.73,2,Indiranagar
B00653,2024-05-28 12:00:00,Sandwich,Beverage,G0315,441.7,3,MG Road
B00654,2024-05-16 19:00:00,Tea,Food,G0111,434.08,1,MG Road
B00655,2023-05-24 08:00:00,Tea,Food,G0187,148.83,1,Indiranagar
