account_id,signup_date,mrr,plan_tier,region,seats
ACC0558,2023-04-19,99,Starter,EU,8
ACC0559,2022-12-22,199,Starter,EU,15
ACC0560,2023-11-11,499,Starter,NA,49
ACC0561,2022-07-12,199,Starter,APAC,5
ACC0562,2023-11-30,499,Pro,NA,4
ACC0563,2022-09-28,499,Starter,EU,11
ACC0564,2022-04-24,499,Pro,NA,18
ACC0565,2023-06-07,199,Enterprise,APAC,42
ACC0566,2022-02-24,99,Pro,APAC,49
ACC0567,2022-03-06,199,Enterprise,NA,30
ACC0568,2023-11-15,199,Pro,EU,15
ACC0569,2022-09-29,499,Enterprise,NA,6
ACC0570,2023-05-17,49,Starter,EU,16
ACC0571,2023-10-24,49,Pro,APAC,47
ACC0572,2022-12-28,199,Pro,NA,40
ACC0573,2022-05-26,499,Enterprise,APAC,9
ACC0574,2022-07-28,199,Enterprise,EU,43
ACC0575,2022-10-13,199,Pro,EU,34
ACC0576,2022-01-10,99,Enterprise,NA,27
ACC0577,2022-07-05,499,Starter,NA,13
ACC0578,2023-07-28,49,Pro,NA,36
ACC0579,2023-08-20,49,Starter,APAC,27
ACC0580,2023-04-09,49,Pro,EU,9
ACC0581,2022-05-14,199,Starter,EU,5
ACC0582,2022-06-20,499,Pro,APAC,22
ACC0583,2022-08-01,99,Enterprise,NA,31
ACC0584,2023-06-14,49,Pro,NA,3
ACC0585,2023-05-17,499,Starter,APAC,30
ACC0586,2023-07-26,49,Pro,EU,21
ACC0587,2023-08-23,99,Starter,EU,35
ACC0588,2022-01-27,499,Starter,EU,6
ACC0589,2022-03-09,199,Starter,EU,28
ACC0590,2023-02-12,199,Enterprise,APAC,32
ACC0591,2023-07-06,49,Pro,EU,42
ACC0592,2022-04-19,49,Starter,APAC,37
ACC0593,2022-03-15,499,Enterprise,NA,25
ACC0594,2023-08-01,99,Starter,APAC,32
ACC0595,2023-11-11,49,Pro,EU,35
ACC0596,2022-09-19,499,Enterprise,NA,22
ACC0597,2023-01-03,99,Starter,APAC,24
ACC0598,2022-08-25,49,Starter,APAC,39
ACC0599,2023-12-28,49,Starter,APAC,30
ACC0600,2023-01-01,499,Pro,NA,32
ACC0601,2022-10-13,49,Enterprise,APAC,31
ACC0602,2023-01-13,199,Enterprise,EU,23
ACC0603,2023-10-23,99,Enterprise,NA,40
ACC0604,2023-01-11,99,Starter,NA,33
ACC0605,2023-09-11,199,Enterprise,APAC,25
ACC0606,2023-10-15,499,Starter,EU,36
ACC0607,2022-03-17,199,Pro,NA,24
ACC0608,2022-01-09,199,Enterprise,APAC,31
ACC0609,2022-07-15,99,Starter,EU,39
ACC0610,2023-09-22,499,Enterprise,APAC,46
ACC0611,2022-10-17,49,Enterprise,APAC,13
ACC0612,2022-03-02,199,Pro,NA,10
ACC0613,2023-01-24,199,Enterprise,NA,23
ACC0614,2023-07-17,499,Pro,APAC,18
ACC0615,2023-07-18,199,Enterprise,NA,32
ACC0616,2023-09-26,499,Enterprise,NA,33
ACC0617,2023-11-10,49,Enterprise,EU,36
ACC0618,2022-01-08,499,Enterprise,EU,28
ACC0619,2023-01-04,49,Enterprise,APAC,16
ACC0620,2022-02-14,499,Enterprise,APAC,16
ACC0621,2022-12-10,199,Pro,APAC,18
ACC0622,2023-01-10,49,Pro,APAC,8
ACC0623,2023-09-11,199,Starter,EU,42
ACC0624,2022-01-27,49,Enterprise,NA,16
ACC0625,2022-07-12,499,Pro,EU,11
ACC0626,2022-12-23,499,Enterprise,APAC,6
ACC0627,2022-03-03,499,Enterprise,APAC,1
ACC0628,2022-03-03,99,Pro,EU,12
ACC0629,2023-02-26,99,Enterprise,EU,38
ACC0630,2023-09-25,49,Pro,APAC,28
ACC0631,2023-07-05,99,Pro,NA,45
ACC0632,2023-01-15,499,Starter,APAC,17
ACC0633,2022-10-04,99,Starter,EU,1
ACC0634,2023-08-29,99,Starter,APAC,32
ACC0635,2023-03-07,199,Starter,APAC,8
ACC0636,2022-04-25,49,Enterprise,NA,40
ACC0637,2023-11-19,49,Enterprise,APAC,43
ACC0638,2022-05-01,49,Starter,APAC,46
ACC0639,2023-06-09,99,Pro,APAC,24
ACC0640,2023-02-20,499,Pro,EU,10
ACC0641,2022-06-12,199,Pro,EU,47
ACC0642,2023-11-19,49,Pro,NA,39
ACC0643,2022-12-03,99,Enterprise,APAC,39
ACC0644,2023-01-14,499,Pro,EU,10
ACC0645,2022-11-20,199,Pro,NA,36
ACC0646,2022-06-22,199,Starter,APAC,25
ACC0647,2022-03-05,49,Pro,NA,10
ACC0648,2022-04-11,49,Enterprise,NA,19
ACC0649,2022-11-18,499,Pro,NA,46
ACC0650,2022-03-07,99,Pro,NA,45
ACC0651,2023-07-11,499,Enterprise,NA,15
ACC0652,2023-08-22,49,Starter,NA,16
ACC0653,2023-04-03,499,Enterprise,NA,2
ACC0654,2023-08-02,99,Starter,APAC,29
ACC0655,2023-03-29,199,Pro,APAC,4
ACC0656,2022-09-16,199,Starter,NA,29
ACC0657,2023-12-18,199,Starter,APAC,31
ACC0658,2023-03-02,199,Starter,NA,17
ACC0659,2022-06-27,49,Pro,APAC,10
ACC0660,2022-10-07,49,Starter,EU,27
ACC0661,2022-12-10,99,Starter,NA,41
ACC0662,2022-01-17,99,Pro,EU,15
ACC0663,2022-10-23,99,Enterprise,NA,44
ACC0664,2022-07-21,99,Enterprise,NA,31
ACC0665,2023-11-15,499,Enterprise,EU,21
ACC0666,2022-07-13,99,Pro,EU,41
ACC0667,2022-05-29,199,Pro,EU,46
ACC0668,2023-01-10,199,Enterprise,NA,45
ACC0669,2022-02-04,199,Starter,EU,26
ACC0670,2023-01-04,499,Enterprise,EU,38
ACC0671,2022-01-29,99,Pro,APAC,36
ACC0672,2022-08-09,199,Starter,APAC,17
ACC0673,2022-02-22,199,Starter,EU,3
ACC0674,2022-12-19,199,Pro,EU,14
ACC0675,2023-01-27,199,Starter,EU,49
ACC0676,2022-03-17,49,Enterprise,EU,13
ACC0677,2023-05-09,99,Pro,APAC,41
ACC0678,2023-11-19,99,Pro,NA,27
ACC0679,2023-06-06,499,Pro,EU,1
ACC0680,2022-04-27,49,Pro,EU,17
ACC0681,2022-10-07,499,Starter,APAC,48
ACC0682,2023-12-31,199,Pro,EU,34
ACC0683,2022-06-24,499,Pro,EU,14
ACC0684,2022-10-22,199,Starter,APAC,17
ACC0685,2023-03-27,199,Pro,EU,3
ACC0686,2023-06-02,99,Starter,EU,34
ACC0687,2022-01-21,99,Starter,APAC,40
ACC0688,2022-03-14,99,Pro,NA,25
ACC0689,2022-02-05,99,Enterprise,EU,2
ACC0690,2023-05-22,99,Pro,EU,34
ACC0691,2022-08-21,49,Enterprise,NA,26
ACC0692,2023-12-29,99,Starter,APAC,31
ACC0693,2023-05-12,499,Enterprise,NA,9
ACC0694,2022-07-25,199,Pro,EU,30
ACC0695,2023-03-02,99,Pro,NA,20
ACC0696,2022-02-13,49,Enterprise,APAC,21
ACC0697,2022-04-01,499,Pro,EU,29
ACC0698,2023-04-15,499,Enterprise,APAC,25
ACC0699,2023-08-28,199,Starter,APAC,38
ACC0700,2023-04-12,499,Enterprise,NA,44
ACC0701,2023-03-30,499,Enterprise,NA,25
ACC0702,2023-08-18,499,Enterprise,APAC,9
ACC0703,2022-11-29,499,Enterprise,APAC,39
ACC0704,2023-05-22,49,Starter,EU,44
ACC0705,2023-04-15,199,Starter,APAC,26
ACC0706,2022-01-21,99,Starter,APAC,37
ACC0707,2022-08-16,499,Enterprise,NA,16
ACC0708,2023-01-11,49,Starter,APAC,37
ACC0709,2022-05-10,199,Pro,APAC,12
ACC0710,2023-11-18,99,Starter,NA,24
ACC0711,2023-09-12,199,Enterprise,EU,26
ACC0712,2023-02-18,49,Pro,NA,20
ACC0713,2022-03-12,49,Enterprise,NA,9
ACC0714,2023-02-08,49,Pro,APAC,23
ACC0715,2023-07-16,499,Enterprise,APAC,39
ACC0716,2023-08-30,49,Enterprise,EU,29
ACC0717,2023-02-01,99,Pro,APAC,31
ACC0718,2022-12-03,499,Starter,EU,19
ACC0719,2023-10-06,199,Pro,EU,20
ACC0720,2023-05-20,99,Pro,EU,23
ACC0721,2022-10-03,499,Pro,EU,43
ACC0722,2022-01-13,49,Pro,APAC,27
ACC0723,2022-01-03,199,Pro,NA,30
ACC0724,2022-08-12,49,Enterprise,NA,21
ACC0725,2022-06-24,99,Enterprise,APAC,44
ACC0726,2023-01-20,99,Starter,APAC,35
ACC0727,2023-08-25,499,Starter,EU,49
ACC0728,2022-08-29,99,Pro,APAC,7
ACC0729,2023-07-01,199,Starter,NA,22
ACC0730,2022-01-14,499,Starter,APAC,10
ACC0731,2022-07-14,199,Pro,APAC,23
ACC0732,2023-02-01,49,Enterprise,EU,15
ACC0733,2023-03-07,199,Enterprise,EU,30
ACC0734,2022-11-02,199,Starter,EU,34
ACC0735,2022-11-30,99,Enterprise,EU,13
ACC0736,2023-12-26,49,Enterprise,NA,4
ACC0737,2023-02-14,99,Starter,APAC,18
ACC0738,2022-01-03,49,Pro,APAC,23
ACC0739,2023-11-22,49,Starter,EU,33
ACC0740,2023-07-06,199,Starter,NA,34
ACC0741,2023-03-28,99,Starter,NA,34
ACC0742,2023-11-07,199,Pro,APAC,36
ACC0743,2023-05-10,199,Pro,EU,35
ACC0744,2023-02-21,199,Pro,APAC,17
ACC0745,2023-01-26,49,Pro,APAC,28
ACC0746,2023-01-08,99,Starter,NA,14
ACC0747,2023-09-20,99,Enterprise,NA,34
ACC0748,2022-02-21,199,Starter,APAC,48
ACC0749,2023-01-11,49,Pro,EU,11
ACC0750,2023-01-30,99,Enterprise,EU,13
ACC0751,2022-05-22,499,Starter,APAC,33
ACC0752,2022-03-27,99,Enterprise,APAC,2
ACC0753,2023-04-09,199,Pro,EU,34
ACC0754,2022-02-15,499,Enterprise,EU,29
ACC0755,2022-08-26,49,Enterprise,EU,37
ACC0756,2022-01-10,499,Pro,APAC,4
ACC0757,2023-10-26,499,Enterprise,NA,12
ACC0758,2023-07-27,199,Starter,EU,26
ACC0759,2023-06-14,99,Enterprise,EU,28
ACC0760,2023-08-21,49,Starter,EU,3
ACC0761,2023-10-11,499,Enterprise,APAC,20
ACC0762,2023-10-02,199,Enterprise,NA,10
ACC0763,2023-09-08,99,Pro,NA,18
ACC0764,2023-11-29,499,Pro,EU,27
ACC0765,2022-06-27,199,Starter,APAC,31
ACC0766,2022-01-06,199,Pro,NA,27
ACC0767,2022-11-03,199,Pro,APAC,42
ACC0768,2023-07-02,49,Pro,NA,1
ACC0769,2022-11-23,99,Pro,EU,6
ACC0770,2022-12-22,499,Pro,APAC,11
ACC0771,2023-01-30,99,Starter,EU,34
ACC0772,2022-10-27,99,Starter,NA,39
ACC0773,2023-06-10,499,Pro,NA,20
ACC0774,2022-10-12,99,Pro,EU,21
ACC0775,2022-11-26,49,Starter,NA,21
ACC0776,2022-02-19,499,Enterprise,EU,18
ACC0777,2023-09-14,499,Starter,EU,21
ACC0778,2023-12-10,199,Enterprise,EU,19
ACC0779,2023-01-13,99,Pro,NA,4
ACC0780,2023-08-23,499,Pro,APAC,13
ACC0781,2023-06-22,499,Starter,EU,18
ACC0782,2022-05-24,49,Pro,APAC,29
ACC0783,2022-03-01,199,Enterprise,NA,25
ACC0784,2022-03-16,499,Enterprise,NA,13
ACC0785,2022-01-03,49,Starter,APAC,27
ACC0786,2023-07-29,499,Enterprise,EU,19
ACC0787,2023-03-24,499,Starter,NA,49
ACC0788,2022-10-02,499,Starter,EU,1
ACC0789,2023-06-14,49,Enterprise,EU,38
ACC0790,2023-08-15,99,Enterprise,APAC,19
ACC0791,2022-08-03,499,Enterprise,NA,1
ACC0792,2023-11-14,499,Enterprise,APAC,40
ACC0793,2023-04-30,99,Enterprise,NA,17
ACC0794,2022-11-25,499,Enterprise,APAC,21
ACC0795,2022-09-12,199,Enterprise,NA,22
ACC0796,2023-01-22,499,Pro,NA,15
ACC0797,2022-05-06,199,Starter,NA,39
ACC0798,2023-08-07,99,Starter,EU,48
ACC0799,2023-07-04,49,Enterprise,EU,39
